BMI_714_Variable_Name,Variable_Name,Variable_Description,Data_File_Name,Data_File_Description,Component
P_BPQ_BPQ040A,BPQ040A,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . . . take prescribed medicine?",P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_BPQ_BPQ050A,BPQ050A,{Are you/Is SP} now taking prescribed medicine?,P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_BPQ_BPQ080,BPQ080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood cholesterol level was high?,P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_BPQ_BPQ060,BPQ060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?,P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_BPQ_BPQ070,BPQ070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked? Has it been...,P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_BPQ_BPQ090D,BPQ090D,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other health professional]... to take prescribed medicine?",P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_BPQ_BPQ100D,BPQ100D,(Are you/Is SP) now following this advice to take prescribed medicine?,P_BPQ,Blood Pressure & Cholesterol,Questionnaire
P_CBQPFA_CBQ502,CBQ502,Do you have the green hand card booklet? {It is in the same bag as the food measuring guides [you used for your/we used for SP’s] dietary phone interview. I'll wait while you locate it. Do you have it?},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ503,CBQ503,"Let's go ahead with the interview anyway. Do you have a cereal box, can or package of food with a food label on the back or the side that you can use for this interview? I'll wait while you locate it.",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ506,CBQ506,"I am going to ask you about eating foods and beverages from different places. The types of places are listed on hand card 1 in your booklet. Please turn to hand card 1. We will start with foods or beverages from fast food or pizza places, then I'll go down the list and ask you about each of the other places.} For the first few questions, please answer yes or no. In the past 12 months, did you buy food from fast food or pizza places?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ536,CBQ536,"At the last fast food or pizza place you bought foods or beverages, did you notice any calorie information on the menu?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ541,CBQ541,Did you use the information in deciding what to buy?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ551,CBQ551,"In the past 12 months, did you eat in or get take-out from a restaurant with waiter or waitress service?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ581,CBQ581,"The last time you ate or got take-out from a restaurant with a waiter or waitress, did you notice any calorie information on the menu?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ586,CBQ586,Did you use the information in deciding what to order?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ830,CBQ830,"In the past 12 months, did you eat at an all-you-can-eat buffet style restaurant?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ835,CBQ835,"The last time you ate at an all-you-can-eat buffet style restaurant, did you notice any calorie information on the menu?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ840,CBQ840,Did you use the information in deciding what to eat?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ845,CBQ845,"In the past 12 months, did you buy any foods or beverages at a place that sells mostly beverages such as a coffee shop or juice bar?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ850,CBQ850,"The last time you bought foods or beverages at a place that sells mostly beverages, did you notice any calorie information on the menu?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ855,CBQ855,Did you use the information in deciding what to order?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ860,CBQ860,"In the past 12 months, did you buy any foods or beverages at movie theaters, sports arenas, or other places of recreation?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ865,CBQ865,"The last time you bought foods or beverages at a movie theater, sports arena, or other place of recreation, did you notice any calorie information on the menu?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ870,CBQ870,Did you use the information in deciding what to order?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ875,CBQ875,"In the past 12 months, did you buy prepared foods such as salads, soups, chicken, sandwiches and cooked vegetables from grocery store salad bars and deli counters?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ880,CBQ880,"The last time you bought prepared foods at a grocery store, did you notice any calorie information about these foods?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ885,CBQ885,Did you use the information in deciding what to buy?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ890,CBQ890,"In the past 12 months, did you buy prepared foods at convenience stores including gas stations or corner stores?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ895,CBQ895,"The last time you bought prepared foods at a convenience store, including a gas station or corner store, did you notice any calorie information about these foods?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ900,CBQ900,Did you use the information in deciding what to buy?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ645,CBQ645,{Please turn to hand card 2.} About how many calories do you think a {man/woman} of your age and physical activity needs to consume a day to maintain your current weight?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ700,CBQ700,"{Now turn the page to use hand card 3.} Many food packages contain an expiration date such as ""use by"" or ""sell by"". How often do you use the expiration date when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_DBQ780,DBQ780,"Some food packages contain health claims about the benefits of nutrients or foods {like the examples on hand card 4}. How often do you use this kind of health claim when deciding to buy a product? Using hand card 5, would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_DBQ750,DBQ750,"{Please turn to hand card 6. For the next few questions you'll use hand card 7 to respond, but first please look at hand card 6 which shows an example of the food label. How often do you use the Nutrition Facts panel on a food label, such as the part colored in yellow on the sample food label on hand card 6, when deciding to buy a food product?} {Looking at hand card 7,} would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_DBQ760,DBQ760,"{Please turn to hand card 8. Again, for the next question, you’ll use hand card 9 to respond, but first look at hand card 8.} How often do you use the list of ingredients on a food label, {such as the part colored in pink on hand card 8,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_DBQ770,DBQ770,"{Please turn your hand card to the next page.} How about the information on the serving size? [HAND CARD # 10] How often do you use information on the serving size on a food label, {such as the part colored in green on hand card 10,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ905,CBQ905,"{Please turn to hand cards 12 and 13.} How about the information on the number of servings in the package? [How often do you use information on the number of servings in the package on a food label, {such as the part colored in purple on hand card 12,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ910,CBQ910,"{Please turn to hand cards #\14 and 15.} How about the information contained in the footnote? [How often do you use information contained in the footnote on a food label, {such as the part colored in orange on hand card 14,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ685,CBQ685,"{Please turn to hand cards 16 and 17.} How about the information on the percent daily value? [How often do you use information on the percent daily value on a food label, {such as the part colored in blue on hand card 16,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ915,CBQ915,"{For the next question you'll use {hand cards 19 & 21} to respond, but first please look at {hand card 18/hand card 20.} Which one do you use more often when deciding to buy a food product - information on the food label about Percent Daily Value, {such as the part colored in blue on {hand card 18/hand card 20},} or about the amount of nutrients such as the value in grams or milligrams noted next to each nutrient {such as the part highlighted in yellow}? {Looking at {hand card 19/hand card 21},} would you say you use...",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBD925,CBD925,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 10% Daily Value for Vitamin D in a serving of the product. What does the 10% Daily Value mean to you?,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ930,CBQ930,"{Look at hand cards 26 and 27.} How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ935,CBQ935,"{Please turn your hand cards to the next page.} How about information on sugars? [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ945,CBQ945,"{Now turn to hand cards 30 and 31.} How about information on sodium? [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ950,CBQ950,"{Please turn to the next hand card page.} Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package. On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738A,CBQ738A,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738B,CBQ738B,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738C,CBQ738C,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738D,CBQ738D,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738E,CBQ738E,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738F,CBQ738F,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738G,CBQ738G,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738H,CBQ738H,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738I,CBQ738I,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738J,CBQ738J,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738K,CBQ738K,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ738CD,CBQ738CD,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698A,CBQ698A,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698B,CBQ698B,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698C,CBQ698C,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698D,CBQ698D,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698E,CBQ698E,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698F,CBQ698F,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698G,CBQ698G,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698H,CBQ698H,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698I,CBQ698I,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ698CD,CBQ698CD,{What is the reason or reasons that you rarely or never check the food label when deciding to buy a food product? There are some examples on {hand card 36/hand card 37}. You may give more than one answer.},P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ695A,CBQ695A,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ695B,CBQ695B,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ695C,CBQ695C,"{Now turn to {hand cards 38 and 39/hand cards 40 and 41}.} Again, for this next question you may give more than one answer. Now think about the ""serving size"" on a food label. What does serving size mean to you? Serving size is...",P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_CBQ785,CBQ785,The interview was completed in:,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFA_WTDRD1PP,WTDRD1PP,Dietary day one sample weight,P_CBQPFA,Consumer Behavior Phone Follow-up Module - Adult,Questionnaire
P_CBQPFC_CBQ502,CBQ502,Do you have the green hand card booklet? {It is in the same bag as the food measuring guides [you used for your/we used for SP’s] dietary phone interview. I'll wait while you locate it. Do you have it?},P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ503,CBQ503,"Let's go ahead with the interview anyway. Do you have a cereal box, can or package of food with a food label on the back or the side that you can use for this interview? I'll wait while you locate it.",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ506,CBQ506,"I am going to ask you about eating foods and beverages from different places. The types of places are listed on hand card 1 in your booklet. Please turn to hand card 1. We will start with foods or beverages from fast food or pizza places, then I'll go down the list and ask you about each of the other places.} For the first few questions, please answer yes or no. In the past 12 months, did you buy food from fast food or pizza places?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ536,CBQ536,"At the last fast food or pizza place you bought foods or beverages, did you notice any calorie information on the menu?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ541,CBQ541,Did you use the information in deciding what to buy?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ551,CBQ551,"In the past 12 months, did you eat in or get take-out from a restaurant with waiter or waitress service?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ581,CBQ581,"The last time you ate or got take-out from a restaurant with a waiter or waitress, did you notice any calorie information on the menu?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ586,CBQ586,Did you use the information in deciding what to order?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ830,CBQ830,"In the past 12 months, did you eat at an all-you-can-eat buffet style restaurant?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ835,CBQ835,"The last time you ate at an all-you-can-eat buffet style restaurant, did you notice any calorie information on the menu?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ840,CBQ840,Did you use the information in deciding what to eat?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ845,CBQ845,"In the past 12 months, did you buy any foods or beverages at a place that sells mostly beverages such as a coffee shop or juice bar?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ850,CBQ850,"The last time you bought foods or beverages at a place that sells mostly beverages, did you notice any calorie information on the menu?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ855,CBQ855,Did you use the information in deciding what to order?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ860,CBQ860,"In the past 12 months, did you buy any foods or beverages at movie theaters, sports arenas, or other places of recreation?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ865,CBQ865,"The last time you bought foods or beverages at a movie theater, sports arena, or other place of recreation, did you notice any calorie information on the menu?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ870,CBQ870,Did you use the information in deciding what to order?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ875,CBQ875,"In the past 12 months, did you buy prepared foods such as salads, soups, chicken, sandwiches and cooked vegetables from grocery store salad bars and deli counters?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ880,CBQ880,"The last time you bought prepared foods at a grocery store, did you notice any calorie information about these foods?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ885,CBQ885,Did you use the information in deciding what to buy?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ890,CBQ890,"In the past 12 months, did you buy prepared foods at convenience stores including gas stations or corner stores?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ895,CBQ895,"The last time you bought prepared foods at a convenience store, including a gas station or corner store, did you notice any calorie information about these foods?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ900,CBQ900,Did you use the information in deciding what to buy?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ700,CBQ700,"{Now turn the page to use hand card 3.} Many food packages contain an expiration date such as ""use by"" or ""sell by"". How often do you use the expiration date when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_DBQ780,DBQ780,"Some food packages contain health claims about the benefits of nutrients or foods {like the examples on hand card 4}. How often do you use this kind of health claim when deciding to buy a product? Using hand card 5, would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_DBQ750,DBQ750,"{Please turn to hand card 6. For the next few questions you'll use hand card 7 to respond, but first please look at hand card 6 which shows an example of the food label. How often do you use the Nutrition Facts panel on a food label, such as the part colored in yellow on the sample food label on hand card 6, when deciding to buy a food product?} {Looking at hand card 7,} would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_DBQ760,DBQ760,"{Please turn to hand card 8. Again, for the next question, you’ll use hand card 9 to respond, but first look at hand card 8.} How often do you use the list of ingredients on a food label, {such as the part colored in pink on hand card 8,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_DBQ770,DBQ770,"{Please turn your hand card to the next page.} How about the information on the serving size? [HAND CARD # 10] How often do you use information on the serving size on a food label, {such as the part colored in green on hand card 10,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ905,CBQ905,"{Please turn to hand cards 12 and 13.} How about the information on the number of servings in the package? [How often do you use information on the number of servings in the package on a food label, {such as the part colored in purple on hand card 12,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ910,CBQ910,"{Please turn to hand cards 14 and 15.} How about the information contained in the footnote? [How often do you use information contained in the footnote on a food label, {such as the part colored in orange on hand card 14,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ685,CBQ685,"{Please turn to hand cards 16 and 17.} How about the information on the percent daily value? [How often do you use information on the percent daily value on a food label, {such as the part colored in blue on hand card 16,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ915,CBQ915,"{For the next question you'll use {hand cards 19 & 21} to respond, but first please look at {hand card 18/hand card 20.} Which one do you use more often when deciding to buy a food product - information on the food label about Percent Daily Value, {such as the part colored in blue on {hand card 18/hand card 20},} or about the amount of nutrients such as the value in grams or milligrams noted next to each nutrient {such as the part highlighted in yellow}? {Looking at {hand card 19/hand card 21},} would you say you use...",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBD925,CBD925,Now turn to {hand cards 22 and 23/hand cards 24 and 25}. The label of the product shows 10% Daily Value for Vitamin D in a serving of the product. What does the 10% Daily Value mean to you?,P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ930,CBQ930,"{Look at hand cards 26 and 27.} How often do you use the calorie information on a food label, {such as the part colored in green,} when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ935,CBQ935,"{Please turn your hand cards to the next page.} How about information on sugars? [How often do you use information on sugars on a food label, {such as the part colored in pink on hand card 28,} when deciding to buy a food product?] Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ945,CBQ945,"{Now turn to hand cards 30 and 31.} How about information on sodium? [How often do you use information on sodium on a food label, {such as the part colored in blue on hand card 30,} when deciding to buy a food product?] [Would you say always, most of the time, sometimes, rarely, or never?]",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ950,CBQ950,"{Please turn to the next hand card page.} Some food packages contain two column labels. {For example, the one shown in hand card 32}. The first column has nutrient information for one serving of the food, and the second column contains information for the entire package. On packages containing two column labels, how often do you use the second column with information per container when deciding to buy a food product? Would you say always, most of the time, sometimes, rarely, or never?",P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ738A,CBQ738A,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ738B,CBQ738B,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ738C,CBQ738C,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ738D,CBQ738D,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
P_CBQPFC_CBQ738E,CBQ738E,{What is the reason or reasons that you check the food label when deciding to buy a food product? There are some examples on {hand card 34/hand card 35}. You may give more than one answer.},P_CBQPFC,Consumer Behavior Phone Follow-up Module – Child,Questionnaire
